id,text_id,annotator_id,minority_id,negative_emotions,call_to_action,source_of_knowledge,irony_sarcasm,topic,text,rating,sentiment,text_length,word_count,text_clean
12768,40163,3,71,True,True,1,True,10, Przy czym jego autorytet był taki  gdyby wyraził sprzeciw to po prostu  Żyd wydawca by tego nie wydrukował,0,0,107,18,co autorytet wyrazić sprzeciw prosty żyd wydawca wydrukować
6353,51230,5,71,True,True,2,True,1, Pod tym względem porównywalne jest ono jedynie do niemieckiego totalnego ludobójstwa na  Żydach lecz nie na Polakach  7,0,0,120,18,wzgląd porównywalny niemiecki totalny ludobójstwo żyda polaka
5201,53400,3,71,True,True,1,True,10, pani Alinka Cala z  Zydowskiego Instytutu Historycznego ktorej tekst calkowicie po  arusiowej linii znalazl sie u Czlowieka z problemami,0,0,137,19,alinka zydowskiy instytut historyczny tekst calkowita arusiowy linia znalazl czlowiek problem
9573,69004,6,71,True,True,1,True,1, autorka Klara Mirska pisała w wydanej w Paryżu w  1980  r książce  W cieniu  wielkiego strachu Zebrałam wiele zeznań o Polakach którzy ratowali  Żydów i  nieraz myślę Polacy są dziwni,0,0,184,30,autorka klar mirski pisać wydać paryż     książka cień wielki strach zebrać być zeznanie polak ratować żyd nieraz myśleć Polak dziwny
5190,18647,5,77,True,True,2,True,10, Zgadzam się z Babą tutaj nie ma co snuć teorii a czekać na wyniki ekspertyz jednak znając narodowe przypadłości to mogło wyglądać tak U  Ruskich jak zwykle coś tam nie do końca działało jakiś tam system ostrzegania czy czegokolwiek mogli mieć troszeczkę spieprzony i naprawiony gumką recepturką,1,1,295,47,zgadzać babą snuć teoria czekać wynik ekspertyz znać narodowy przypadłość móc wyglądać ruski zwykle koniec działać system ostrzeganie czegokolwiek móc mieć troszeczkę spieprzić naprawić gumka recepturka
1205,53207,12,71,True,True,0,True,0, zamieszczone po Bolesławie Suliku tuż przed Stanisławem Krajewskim  M  Goldsztejn przewodniczący  Międzynarodowego Komitetu  Oświęcimskiego oznajmia w Polsce utwierdza się  niesłuszne mniemanie iż ofiary Oświęcimia były Polakami nieżydowskiego pochodzenia a o Marcu  1968  r stwierdza iż antysemicka kampania wygnała wówczas z Polski  100 tysięcy  Żydów którzy zdecydowali się odbudować po wojnie Polskę z ruin,0,0,411,53,zamieszczyć bolesława sulik tuż stanisławo krajewski goldsztejn przewodniczący międzynarodowy komitet oświęcimskiy oznajmiać Polska utwierdzać niesłuszny mniemanie ofiara oświęcimiać polak nieżydowskiy pochodzenie marzec     stwierdzać antysemicki kampania wygneć wówczas Polska    tysiąc żyd zdecydować odbudować wojna polska ruina
462,39485,10,0,True,True,0,True,0,"Ciekawa jestem, czy zaglądają tu osoby w  wieku 50 i wiecej lat...?

Jeśli tak, to czy możecie się wpisac w topik ?

Czym się interesujecie ? Jak spędzacie czas ?

Piszcie co chcecie...a może nie poczuję się taka osamotniona na tym Forum :)

Pozdrawiam ;)",0,0,255,45,"ciekawy zaglądać osoba wiek wiecej rok 

 móc wpisac topik 

 co interesujeć spędzać czas 

 piszcie chcecie poczować osamotnić forum 

 pozdrawiać"
5028,10052,2,10,True,True,2,True,11, Jeśli panstwo będzie egzekwować sankcje za przekroczenie zasad nie będzie mialo zadnego znaczenia czy narusza je biały  pedał czy  cygan hetero,2,1,144,21,panstwo egzekwować sankcja przekroczeć zasada mialo zadny znaczenie naruszać biały pedał cygan hetero
10033,33933,2,71,True,True,1,True,10,  Za to  Żydzi powinni być wychwalani szczególnie z getto dla Palestyńczyków,2,1,76,11,   żydzieć wychwalać szczególnie getto palestyńczyk
10785,114206,5,72,True,True,2,True,10,  Niuewiele krajow rozwinietych takie  cos przezywa  Za pare lat  Niemce beda znow  alles,2,1,89,13,   niuewiele krajow rozwiniety przezywać pary rok niemcy alles
